,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
73,"PENERAPAN METODE MARKOVIAN DECISION PROCESS DAN OEE (OVERALL EQUIPMENT EFFECTIVENESS) UNTUK MENENTUKAN KEBIJAKAN PERAWATAN (Studi Kasus di PT DEN)
",SYAMSUL ARIFIN,"SAMSUL AMAR, ST.,MSc","MU'ALIM, ST.,MT","PT Dinamika Energitama Nusantara (DEN) Surabaya merupakan perusahaan nasional yang bergerak di bidang industri power generation. Dalam penelitian ini, penulis akan menghitung nilai overall equipment effectiveness (OEE) dari mesin bending di lantai produksi PT DEN Surabaya. Mesin bending adalah alat yang digunakan untuk membengkokkan pipa pada derajat tertentu. Setelah nilai overall equipment effectiveness dari mesin bending diperoleh, selanjutnya dilakukan analisis menggunakan metode markovian decision process untuk menentukan kebijakan perawatan atau perbaikan yang optimal. Nilai overall equipment effectiveness tertinggi diperoleh pada bulan desember 2012 sebesar 79,98 % dan nilai overall equipment effectiveness terendah diperoleh pada bulan maret 2013 sebesar 73,12 %. Nilai overall equipment effectiveness mesin bending di lantai produksi PT DEN Surabaya selama periode oktober 2012 – maret 2013 masih belum memenuhi standart benchmark world class yang dianjurkan JIPM (japan institute of plant maintenance), yaitu OEE = 85%. Hasil perhitungan overall equipment effectiveness kemudian digunakan untuk menentukan state pada perhitungan markovian decision process yaitu OEE 86 % - 100 % (state A), OEE 61 % - 85 % (state B), OEE 41 % - 60 % (state C), dan OEE 0 % - 40 % (state D). Hasil perhitungan markovian decision process diperoleh alternatif kebijakan yang optimal berdasarkan nilai ekspektasi terbesar yaitu alternatif 6 (perawatan jika pada kondisi D) dengan nilai ekspektasi Rp 164.802,88,-."
74,Pengaruh kenaikan harga BBM terhadap pendapatan masyarakat angkutan umum menggunakan pendekatan sistem dinamik. (Studi Kasus: Bangkalan Madura),Pradita Nordiansya,"Heri Awalul Ilhamsah, ST, MT","M. Imron Mustajib, ST., MT.","BBM  merupakan bahan bakar non renewable yang ketersediaanya tidak dijamin selalu ada sehingga harga yang berlaku cenderung mengalami peningkatan dari waktu ke waktu.  Naik atau turunnya harga BBM merupakan kebijakan pemerintah yang bersifat dinamik, seiringnya naik turunnya harga minyak bumi mentah yang sangat berpengaruh terhadap besarnya tekanan krisis globalisasi perekonomian Indonesia dan harga BBM. Kenaikan harga BBM sangat berpengaruh besar terhadap hampir seluruh sektor, karena memicu terjadinya peningkatan biaya produksi atau operasional.
Salah satu kelompok sektor pekerjaan yang berpengaruh secara langsung akibat kenaikan harga BBM yaitu masyarakat angkutan umum. BBM merupakan komponen paling penting mereka karena BBM masuk dalam kegiatan operasional. Oleh karena itu apabila harga BBM naik tidak menutup kemungkinan banyak masyarakat angkutan umum berhenti sebagai profesi angkutan umum karena kenaikan biaya operasional tidak bisa diimbangi dengan biaya pendapatan.
Penelitian ini menggunakan simulasi pemodelan dinamis sebagai metode analisanya. Pemodelan dinamis memberikan pilihan dalam menggabungkan variabel  ekonomi dan sosial yang mempengaruhi sebuah sistem secara berkelanjutan. 
Setelah dilakukan validasi, didapatkan kesimpulan bahwa, Pada level harga BBM
saat ini premium Rp 4500, kesejahteraan masyarakat MPU cukup rendah. Adanya Bantuan Langsung Tunai (BLT) sebesar Rp 100.000,00 tidak signifikan berpengaruh terhadap kesejahteraan masyarakat MPU. Jika Hasil subsidi dihapus dan menaikan harga BBM sebesar Rp 6500, maka efek penurunan simpanan MPU mencapai dua kali lipat dari kondisi awal pada saat BBM masih disubsidi. Dan akhirnya, model yang dikembangkan menemukan bahwa MPU setidaknya harus diberikan subsidi sekitar 18% agar MPU tetap dapat mencukupi kebutuhan hidupnya.
Kata Kunci: Sistem Dinamik, Mobil Angkutan Umum.
"
75,Meningkatkan Manajemen Mutu Pada Produksi Air Minum Dalam Kemasan (Amdk),HABIB AHMAD JAIZI,"NAHCNUL ANSHORI ST,MT","AGUS SALIM ST,MT","Abstrak
Manfaat air sangat banyak untuk kesehatan tubuh manusia, tanpa air manusia tidak akan bisa hidup dan sebagian
besar tubuh manusia terdiri dari Air. Jika meminum banyak air bersih tanpa kuman dan jernih, maka hal tersebut
akan memacu peningkatan pada kesehatan manusia. Air minum dalam kemasan semakin banyak peminatnya
sehingga diperlukan syarat dan pengawasan kualitas air minum sesuai dengan Nomor SNI-01-3553-1996.
Hasil analisis penelitian ini menyatakan bahwa penerapan GMP di PT. Madura Investama dikategorikan bernilai
C (Cukup). Hal ini dikarenakan unsur utama penilaian yang terdiri dari suplai air, pengendalian hama, kesehatan
dan higiene karyawan, serta pengendalian proses tidak mendapatkan nilai baik. Sehingga diperlukan adanya
perbaikan dengan menggunakan alat yaitu New Seven Tools.
Kata kunci : GMP, New Seven Tools, dan manajemen mutu"
76,ANALISA FAKTOR FAKTOR YANG MEMPENGARUHI  KNOWLEDGE SHARING DI PT TRIDAYA PERKASA PRIMA,AZMI MIFTAKHUL FALAKH,"Retno Indriartiningtias, ST., MT.","Trisita Novianti, S.TP., MT.","Stan Davis dan Jim Botkin (1994) mengatakan bahwa 2 dekade mendatang pola bisnis justru akan menjadikan  customer sebagai  learners dan perusahaan akan menjadi seorang educator. Hal ini semakin jelas bahwa perusahaan sebagai seorang pendidik harus lebih cerdas (smart) dibandingkan yang dididik.  Perusahaan yang lebih mampu menterjemahkan  voices of the customer &  beyond voices  of the customer  dan disertai kemampuan mengubah  informasi menjadi knowledge dalam bentuk produk dan jasa yang lebih bernilai di mata customer, akan menjadi perusahaan yang sukses. Knowledge seorang karyawan yang keluar dari perusahaan tidak diwariskan kepada penggantinya. Sebaliknya, karyawan baru atau yang baru masuk tidak terwariskan knowledge dari pendahulunya. Hal itulah yang menyebabkan penerapan knowledge sharing menjadi penting bagi perusahaan. Dengan metode analisis regresi linier berganda, diketahui bahwa sistem intensif,  sistem manajemen, kultur organisasi, sikap individu, harapan pribadi dan aplikasi IT berpengaruh secara simultan terhadap knowledge sharing. Sedangkan secara parsial hanya variable sistem intensif yang berpengaruh secara signifikan. Sehingga disimpulkan bahwa untuk meningkatkan knowledge sharing maka perusahaan perlu membuat sistem insentif yang mendukungnya agar knowledge sharing dapat terlaksana."
77,"IDENTIFIKASI DAN UPAYA MENGURANGI PEMBOROSAN PADA PROSES PRODUKSI LANTAI KAYU DENGAN MENGGUNAKAN METODE VALUE STREAM MAPPING (STUDI KASUS: PT TIRTA MAHAKAM RESOURCES TBK, GRESIK)",DODY KARUNIAWAN,"SUGENG PURWOKO. S.T., M.T.","MUA'LIM. S.T., M.T.","Pt Tirta Mahakam Resources Tbk adalah perusahaan yang bergerak dibidang pengolahan kayu lapis dengan hasil produksinya adalah Flooring atau lantai kayu. Dimana selama ini banyak terjadi penumpukan barang setengah jadi di lantai produksi dan kapasitas produksi belum sesuai dengan target sehingga perusahaan menginginkan dilakukan identifikasi pemborosan dan apa saja usulan yang dapat digunakan untuk mengurangi pemborosan tersebut. Value Stream Mapping sebagai salah satu tools dalam Lean manufacturing akan membantu menggambarkan keseluruhan proses mulai dari kedatangan raw material sampai pengiriman finished good. Dan pemborosan yang sudah teridentifikasi, dicari akar permasalahannya dengan menggunakan 5 WHY. Dan memberikan usulan perbaikan pada setiap pemborosan yang ada dengan 5S. usulan tersebut berupa pembuatan kartu perawatan, mengadakan pelatihan bagi para pekerja agar memiliki skill yang cukup dalam melakukan kegiatan operasi, menambah 1 mesin Forklift yang dapat mengurangi waktu pengangkutan pada departemen LVP sebesar 674.35 detik perhari, memberikan gambar prosedur penggantian pisau mesin slicer. Kata Kunci : Value Stream Mapping, 5 WHY, 5S"
78,PERANCANGAN LONG DISTANCE RANGE STUN GUN DENGAN PENDEKATAN VDI2221-AHP,M. FATHUL WARIS,"MU'ALIM ST.,MT","SAMSUL AMAR ST.,MT","Mendisain sebuah produk berarti menjabarkan ide yang dimiliki untuk meyelesaikan suatu masalah. Ide, bagaimanapun merupakan otak dari pekerjaan mendesain. Setelah ide didapat, yang menjadi pertanyaan berikutnya adalah metoda apa yang akan dipakai dalam mewujudkan ide tersebut hingga menghasilkan sebuah karya yang riil dan dapat dipertanggung jawabkan  secara ilmiah. Hal inilah yang menjadi pemikiran para insinyur dari Jerman untuk membuat metoda perancangan produk yang dikenal dengan metoda VDI 2221 yaitu pendekatan sistimatik terhadap desain untuk sistem teknik dan produk teknik yang dijabarkan oleh G Pahl dan W Beitz (VDI = Verein Deutscher Ingeniure/ Persatuan Insinyur Jerman). Merupakan metode yang telah secara luas digunakan untuk pembuatan keputusan permasalahan yang kompleks. Terdapat beberapa alasan mengapa metode AHP ini menjadi sangat populer seperti, (1) tidak dibutuhkannya pengetahuan matematika tingkat lanjut (2) dapat digunakan untuk menyelesaikan permasalahan dengan faktor kualitatif (3) tersedianya software yang sesuai (expert choice) (4) adanya campur tangan dari para ahli. Penggunaan AHP telah banyak digunakan diberbagai bidang antara lain untuk memilih alternatif terbaik, pemetaan resource, dan optimasi.

Kata kunci : G Pahl dan W Beitz  VDI2221,  Analytical Hierarchy Process (AHP)
"
79,Desain Faktorial Menggunakan Faktor Lama Fermentasi Dan Konsentrasi Ragi Terhadap Kadar Etanol Dari Umbi Suweg.,DAVID WAHYUDI,"SAMSUL AMAR,S.T.,M.Se","ERNANING WIDIASWANTI,S.Si.,MT.","Suweg merupakan tumbuhan yang tumbuh liar di Indonesia yang masih tergolong dalam anggota Amorphophallus seperti Bunga bangkai (Amorphophallus Titanium) dan iles-iles (Amorphophallus muelleri) yang tumbuhannya menghasilkan umbi. Pemanfaatan suweg masih perlu dikembangkan lagi agar memberikan nilai tambah, baik secara ekonomi maupun lingkungan. Salah satu pemanfaatannya adalah sebagai etanol. Iriawan (2006) memaparkan desain eksperimen adalah salah satu metode statistik yang digunakan sebagai salah satu alat untuk meningkatkan dan melakukan perbaikan kualitas. Perubahan-perubahan terhadap variabel suatu proses atau sistem diharapkan akan memberi hasil (respons) yang optimal dan cukup memuaskan. Berdasarkan penelitian yang telah dilakukan pengaruh lama fermentasi dan konsentrasi ragi menunjukkan hasil yang berbeda terhadap kadar etanol. Lama fermentasi 3 hari menunjukkan kadar etanol dengan rata-rata tertimggi sebesar 33,89%, dan kadar etanol 15% menunjukkan kadar etanol tertinggi sebesar 28,33%, sedangkan Sig interaksi antara faktor A dan B < ? = 0.05 menunjukkan terdapat pengaruh interaksi faktor A dan B terhadap hasil etanol.
		
Kata kunci: Kadar Etanol pada umbi Suweg, Desain Faktorial
"
80,Pemilihan alternatif perbaikan desain Roll gilingan dengan menggunakan metode ANALITYCAL HIERARCHY PROCESS (AHP) DI PT. BARATA INDONESIA (PERSERO),Arief Putra Perdana,"Samsul Amar S.T,M.T","Teguh Prasetyo S.T,M.T","Penelitian ini bertujuan untuk memberikan alternative desain dimana pada desain sebelumnya sering terjadi kecacatan atau keretakan pada proses cremping yakni pada saat penyatuan poros dan selubung roll. Untuk memecahkan masalah tersebut penelitian ini menggunakan metode  AHP ( ANALITYCAL HIERARCHY PROCESS). Metode ANALITYCAL HIERARCHY PROCESS (AHP) merupakan metode penyelesaian problem kriteria ganda, yang menuntut pembuat keputusan mengeluarkan pendapat berkaitan dengan tingkat kepentingan relatif dari masing-masing kriteria yang ada dan kemudian menunjukkan preferensi berkaitan dengan tingkat kepentingan setiap kriteria. Terdapat tiga alternative yang akan di pilih untuk menentukan desain mana yang optimal meliputi alternatif penambahan pasak, alternatif penambahan mur/sekrup pada roll gilingan dan proses las gesek.dalam penelitian ini di hasilkan data sebagai berikut untuk alternative pasak dengan nilai sebesar 0,52 , untuk alternative Las gesek dengan nilai sebesar 0,26 , untuk alternative Mur/sekrup dengan nilai sebesar 0,22 sehingga dapat di simpulkan untuk pemilihan alternative desain nya adalah alternative pertama dengan penambahan pasak pada desain roll gilingan.
Kata Kunci : Metode. ANALITYCAL HIERARCHY PROCESS (AHP)
"
81,Manajamen Proyek Pembangunan Gedung Laboratorium Universitas Trunojoyo Madura Dengan Pendekatan Critical Path Method,Muhammad Amienur Rahman,"Mu'alim ST.,MT","Ari Basuki ST.,MT","Penelitian ini membahas tentang manajemen proyek pembangunan gedung Lab. UTM
dengan pendekatan CPM (Critical Path Method). Tuntutan pembangunan di segala
bidang semakin ditingkatkan, terutama di bidang pendidikan, hal ini dilakukan dalam
rangka meningkatkan kenyaman dalam menuntut ilmu bagi masyarakat. Banyak
kemajuan yang harus diraih. Tujuan dalam penelitian ini adalah Menentukan jaringan
kerja atau network proyek, Menganalisis kebutuhan waktu dan sumber daya yang
optimal, Menganalisis perkiraan scenario percepatan proyek berkaitan dengan biaya
tenaga kerja. Untuk memperoleh manajemen proyek maka menggunakan metode
CPM (Critical Path Method). Hasil penelitian ini yaitu terdapat 78 jalur kritis dan 60
waktu longgar, dilakukan pengoptimalan waktu dan percepatan waktu pada kegiatan
yang mempunyai waktu longgar serta dilakukan kerja lembur untuk pengoptimalan
waktu yaitu tanggal (17,26,28 november 2013) dan (01,10 desember 2013). Pada
jadwal sebelumnya menghabiskan biaya sebesar Rp. 16.170.000 dan hasil dari
penelitian menggunakan critical path method menghabiskan biaya total
Rp.19.557.000 dengan percepatan waktu 4 hari dengan selisih harga sebesar Rp.
3.387.000 "
82,INDENTIFIKASI FAKTOR-FAKTOR YANG MEMPENGARUHI DESAIN KAOS UNTUK PENGEMBANGAN IKM OSNGAOS CLOTHING DENGAN METODE KANSEI ENGINEERING,WAHYUDI SUTANTO,"RETNO INDRIARTININGTIAS, S.T., M.T","SAMSUL AMAR, S.T., M.Sc","Di pulau Madura terdapat IKM yang bergerak di bidang penjualan kaos salah satunya adalah Osngaos Clothing. Mereka menjual produk mereka dengan desain baju yang berkaitan dengan daerah mereka yaitu, Madura. Kebutuhan masyarakat yang selalu berubah-ubah membuat produsen harus menyesuaikan kebutuhan emosional masyarakat, maka dari itulah digunakan metode kansei engineering untuk mengetahui kebutuhan emosional konsumen. Tujuan penelitian ini adalah untuk mengetahui pengaruh kebutuhan emosional dengan kepuasan konsumen. Kansei Word diperoleh dari hasil wawan cara terhadap 100 responden, dari 39 kata kansei di eliminasi menjadi 9 kata kansei berdasarkan jumlah pemilih dan pemilihan produsen. Pada penelitian ini menggunakan analisis regresi linier berganda.
Hasil analisis regresi linier berganda untuk mengetahui pengaruh kansei word terhadap dengan kepuasan konsumen diantaranya adalah beda dari yang lainnya (X2.1), tidak pasaran (X2.2), ukurannya pas (X9.1) dan variabel tersebut bersama-sama secara simultan mempengaruhi kepuasan berdasarkan koefisien determinasi dengan 69% yang mempengaruhi dan 31% dijelaskan oleh variabel lain yang tidak terdapat dalam penelitian ini."
83,PENILAIAN KOMPONEN TEKNOLOGI TERHADAP PERUSAHAAN AIR MINUM DALAM KEMASAN (AMDK) ADENI,R.FERDI JUNIANTO,"RETNO INDRIARTININGTIAS, S.T., M.T","ARI BASUKI, S.T., M.T","Penelitian ini membahas tentang penilaian komponen teknologi terhadap perusahaan Air Minum Dalam Kemasan ADENI. Perusahaan ini memiliki banyak pesaing di daerah yang sama yaitu di daerah Kabupaten Pamekasan. Agar perusahaan mampu berdaya saing dengan perusahaan yang sejenis maka perusahaan perlu melakukan penilaian komponen teknologi (Technoware, Humanware, Infoware dan Orgaware) penilaian ini menggunakan metode Teknometrik untuk menilai komponen teknologi dan pembobotan dengan metode AHP (Analytical Hierarchy Process) serta penyusunan strategi dengan metode SWOT. Dari hasil penelitian diperoleh Nilai TCC Perusahaan Air Minum Dalam Kemasan ADENI = 0,579. maka nilai TCC untuk perusahaan ini sendiri berada pada tingkat baik. Dan tingkat teknologi TCC di perusahaan ini berada pada tingkat semi moderen. Namun dalam perhitungan THIO komponen teknologi masih ada beberapa kriteria dari beberapa komponen yang masih memiliki nilai yang lemah sehingga perlu beberapa strategi untuk memperbaiki kriteria tersebut. Strategi tersebut antara lain yaitu perusahaan harus memperbaiki atau menyesuaikan suasana lingkungan produksi dengan standart yang ada, perusahaan harus selalu melakukan pembaharuan informasi dengan cara meng-up date informasi baru, perusahaan harus memiliki sistem pengukuran kinrja pekerja dan perusahaan diharap mampu melakukan inovasi."
84,Pemetaan Potensi dan Penentuan Industri Kreatif Unggulan di Kabupaten Sumenep Madura,Nasrul Hudha,"Fitri Agustina,ST.,MT","Nachnul Ansori,ST.MT","Penelitian ini membahas tentang pemetaan potensi dan penentuan industri kreatif unggulan di kabupaten Sumenep. Hingga saat ini di kabupaten Sumenep tidak terdapat pemetaan terhadap industri kreatifnya. Menurut buku tentang Pengembangan Industri Kreatif Menuju Visi Ekonomi Kreatif 2025 terdapat 14 subsektor industri kreatif. Tujuan dari diadakannya penelitian ini adalah untuk memetakan industri kreatif yang ada di kabupaten Sumenep kedalam 14 subsektor tersebut dan menentukan industri kreatif unggulan di kabupaten Sumenep. Hasil dari penelitian ini adalah terdapat tiga subsektor industri kreatif unggulan berdasarkan empat variabel KBLI yaitu subsektor Kerajinan, subsektor Desain Feysen dan subsektor Video, Film dan Fotografi. Dan industri kreatif unggulan yang diperoleh berdasarkan perhitungan efisiensi dengan metode DEA adalah pada subsektor Video, Film dan Fotografi.

Kata kunci: industri kreatif, pemetaan, industri kreatif unggulan, metode DEA. 
"
85,Analisis Persepsi  Konsumen Pada Rumah Makan Raja Bebek Bangkalan Menggunakan Analisis Citra dan Analisis Biplot,Zainal Fatah,"Dr. Rahmad Hidayat,ST.,MT","Sabaruddin Ahmad,ST.,MT","Banyaknya rumah makan bebek di Bangkalan membuat rumah makan Raja Bebek Bangkalan memiliki pesaing yang cukup tinggi. Untuk itu Rumah Makan Raja Bebek mempunyai strategi dengan memunculkan atribut baru sesuai dengan keinginan konsumen, misalnya menambahkan inovasi pada menu utamanya. Dengan demikian Rumah Makan Raja Bebek mempunyai ciri khas dengan Rumah Makan lainnya. Sehingga rumah makan Raja Bebek Bangkalan dapat mengetahui apa saja kelebihan dan kekurangan dibandingkan dengan rumah makan bebek lainnya. Penambahan produk dilakukan dengan melihat positioning dan persepsi konsumen terhadap produk yang disajikan oleh perusahaan, sehingga perusahaan dapat mempengaruhi keputusan konsumen melalui penambahan atribut seperti kandungan gizi, harga, bentuk kemasan penyajian, kecepatan pelayanan, porsi makan, mudah diperoleh, aman dikonsumsi, rasa dan aroma. Penelitian ini dilakukan terhadap konsumen terhadap Rumah Makan Raja Bebek yang terletak di Bangkalan, menggunakan metode Analisis Citra dan Biplot, dengan tujuan mengetahui persepsi dan pengaruh kedekatan atribut terhadap penilaian konsumen. Teknik pengambilan data menggunakan kuesioner yang disebarkan kepada konsumen dan wawancara kepada pihak rumah makan. Analisis Citra dapat mengetahui persepsi dan penilaian konsumen terhadap atribut yang ada, dan dapat ditunjukkan hasil analisis citra tehadap atribut yang ada di Rumah Makan Raja Bebek Bangkalan yaitu untuk atribut kandungan gizi sebesar 3.513, harga sebesar 3.385, bentuk kemasan penyajian sebesar 3.325, kecepatan pelayanan sebesar 3.427, porsi makan sebesar 3.393, mudah diperoleh sebesar 3.487, aman dikonsumsi sebesar 3. 675, rasa sebesar 3. 829 dan untuk atribut aroma sebesar 3.932. Sehingga dapat dilihat dari atribut tersebut Rumah Makan Raja Bebek Bangkalan memiliki keunggulan dalam aroma.
Kata kunci : Positioning, Analisis Citra, Analisis Biplot
"
86,Pemetaan Beban Sistem Kredit Semester (SKS) dan Indeks Prestasi Sementara (IPS) Mahasiswa Teknik Industri Fakultas Teknik Universitas Trunojoyo Madura,Isha Paramita Sari,Retno Indriartiningtias S.T.S.E.M.T,Ari Basuki S.T.M.T,"Fakultas Teknik Universitas Trunojoyo Madura mengalami naik turun Indeks Prestasi Sementara sejak 2010-2012 fakta ini sangat mempengaruhi terhadap sks yang akan diambil mahasiswa disemester berikutnya. Oleh karena itu perlu melakukan pemetaan beban SKS dan IPS mahasiswa TI. Pada penelitian ini pemetaan dilakukan dengan analisis K-Mean Cluster dengan sample mahasiswa angkatan 2009-2010 untuk SKS dan IPS semester 2 sampai semester 5. 
Hasil penelitian didapatkan pada cluster 1 IPS terletak antrara 1,61 sampai 3,34, sks antara 2 sampai 11, cluster 2 IPS terletak antara 2,33 samapai 3,96, sks antara 21 sampai 24 sks, cluster 3 IPS terletak antara 2,67 sampai 3,75, sks antara 14 sks sampai 21, cluster 4 IPS terletak antara 1,41 sampai 2,74, sks antara 14 sampai 23, cluster 5 IPS terletak antara 0,20 sampai 2,14, sks antara 11 sampai 24.

Kata kunci :
Indeks Prestasi Sementara, K-Mean Cluster, Sistem Kredit Semester
"
87,PENGEMBANGAN TORQUE MULTIPLIER MOTOR-GENERATOR SEBAGAI SUMBER LISTRIK DARURAT PENGGANTI GENSET DENGAN PENDEKATAN ANALISIS MULTIKRITERIA AHP - PROMETHEE II,FARIS AL GHONI,"SUGENG PURWOKO,S.T.,M.T","MU`ALIM,S.T.,M.T.","Peningkatan kebutuhan energi listrik yang sangat besar di Indonesia mendorong peningkatan sumber energi listrik yang masih mengandalkan pembangkit termal seperti minyak, gas dan batu bara yang harganya mahal sehingga biaya pembangkitan menjadi sangat tidak efisien. Akibat dari kondisi tersebut ditambah lagi dengan keterbatasan jangkauan distribusi, hampir 43,2 persen rumah tangga belum menikmati listrik. Selain itu, adanya kebijakan pemadaman bergilir mendorong pemakaian sumber energi listrik cadangan untuk keadaan darurat berupa generator set (genset) yang berbahan bakar bensin atau solar. Dari sisi biaya investasi untuk kapasitas daya yang sama genset lebih murah daripada sumber energi listrik alternatif lain. Dari segi portabilitasnya genset lebih mudah dibawa kemana-mana sesuai kebutuhan. Namun genset sangat tergantung pada ketersediaan bahan bakar minyak yang cadangannya semakin menipis dan penggunaannya dapat menimbulkan polusi dan memperparah isu global warming.Oleh karna itu, pada penelitian ini dilakukan analisis kelayakan pengembangan prototipe motor-generator dengan torque multiplier system listrik dengan teknologi flywheel (Chas Cambell System) dan transmisi motor ke generator menggunakan sistem torque multiplier sebagai alternatif sumber energi listrik cadangan. Berdasarkan penelitian ini, hasil pembobotan multikriteria AHP –Promethee II prototipe motor generator jauh lebik baik dari segi biaya operasional dan dampak terhadap lingkungan dibandingkan dengan genset sehingga prototipe motor generator layak untuk dikembangkan.
Kata kunci : Global Warming, Listrik, Promethee II, Motor Generator."
88,"ANALISIS PEMILIHAN ALTERNATIF  PENINGKATAN KINERJA OVEN
TENAGA SURYA DAN HEATER DENGAN PENDEKATAN MULTIKRITERIA
(Studi Kasus:IKM Ambudi Makmur II Bangkalan)",KHAMDANI ZUDI KHOIRO,"RETNO INDRIATININGTIAS , ST., MT.","TEGUH PRASETYO , ST., MT.","ABSTRAK
Penelitian ini membahas mengenai cara menentukan kriteria dan alternatif yang
digunakan untuk meningkat kinerja dari oven tenaga suryadan heater yang ada di IKM
Ambudi  Makmur  II  bangkalan.  Dengan  menggunakan  metode  AHP  sebagai  dasar
menentukan tingkat  kriteria  kemudian  dilanjutkan  dengan  menggunakan  metode
PROMETHEE sebagai dasar untuk menentukan alaternatif terbaik yang nantinya akandi
aplikasikan untuk meningkatkan kinerja dari oven tenaga surya dan heater.Dari pemilhan
alternative  terbaik  inilah  didapatkan  oven  tenaga  surya  dan  heater  300  watt  adalah
alternatifterbaik yang didapatkan.
Kata kunci : heater, tenaga surya, promethee, ahp, analisis kinerja, MCDM"
89,"MITIGASI RISIKO RANTAI PASOK MENGGUNAKAN PENDEKATAN SUPPLY CHAINRISK MANAGEMENT (SCRM)
Studi Kasus : PT. Barata Indonesia (Persero)
",DIDIK ACHMADI,"Trisita Novianti, S.T.P., M.T.","Fitri Agustina, S.T., M.T.","Rantai pasok merupakan suatu hal penting dalam perdagangan domestik maupun internasional, yang menentukan sejauh mana efisiensi dan nilai efektifitas dari pemesanan, proses produksi hingga pendistribusian barang dari sentra produksi atau impor sampai ke tingkat konsumen. PT. Barata Indonesia (Persero) merupakan perusahaan yang bergerak menggunakan strategi produksi Make To Order yang sering kali mengalami kendala dalam proses supply khususnya penerimaan bahan baku yang tidak sesuai waktu yang ditentukan. Dalam menangani risiko yang terjadi dilakukan pendekatan Supply Chain Risk Management (SCRM), dimana akan dilakukan identifikasi dampak  kejadian risiko dan probabilitas agen risiko pada risiko supply, operational dan demand. Dalam mengidentifikasi risiko digunakan tool House of Risk (HOR) yang terdiri dua fase. Hasil penilaian risiko fase pertama terdapat 23 kejadian risiko dan 17 agen risiko yang meliputi 4 risiko supply, 16 risiko operational dan 3 risiko demand. Dari hasil tersebut akan didapat urutan nilai aggregate risk potential (ARP) terbesar hingga terkecil. Risiko dengan nilai ARP terbesar akan menjadi inputan pada fase kedua HOR. Pada fase kedua, agen risiko terpilih akan dikorelasikan dengan usulan strategi mitigasi, terdapat 9 strategi mitigasi risiko rantai pasok yang akan dinilai tingkat relationship keduanya, sehingga didapat urutan strategi mitigasi yang sesuai kemampuan perusahaan. 

Kata Kunci :Supply Chain Risk Management (SCRM), House Of Risk (HOR), Mitigation Strategy.
"
90,Analisis Pengaruh Hubungan Supplier – Manufacturer Terhadap Kinerja Rantai Pasok,bagus puji utomo,"Dr. Rachmad Hidayat, S.T., M.T.","Ari Basuki, S.T., M.T.","Penelitian ini dilakukan di PT.Barata Indonesia (Persero) yang bertujuan untuk mengkaji dan memperoleh bukti empiris pengaruh komitmen, komunikasi, kepuasan, kepercayaan, kualitas hubungan, kinerja rantai pasok. Jumlah sampel dalam penelitian ini, yaitu 150 responden dimana responden tersebut yaitu supplier dari PT.Barata Indonesia (Persero) dengan teknik penarikan sampel menggunakan total sampling. Skala yang digunakan, yaitu skala Likert dengan nilai 1 sampai 5. Data-data tersebut kemudian diolah dan dianalisis menggunakan Structural Equation Modeling. Hasil pengujian hipotesis baik secara langsung maupun tidak langsung terdapat dua hipotesis yang berpengaruh positif dan signifikan, antara lain pengaruh langsung kepercayaan terhadap kinerja rantai pasok, pengaruh langsung kualitas hubungan terhadap kinerja rantai pasok, namun terdapat juga sembilan hipotesis yang berpengaruh positif namun tidak signifikan. Hasil dari penelitian ini model akhir dengan nilai chi square sebesar 97,779  dan probabilitas sebesar 0,516. Artinya, model secara keseluruhan dikatakan fit.
Kata Kunci: hubungan supplier  manufacturer, kualitas hubungan, kinerja rantai pasok, SEM(Structural Equation Modeling).
"
91,Rancang Bangun Penepung Alat Pembuat Pakan Ikan Bentuk Pellet,Muhammad Zainul Fanani,"Mu'alim,S.T,M.T","Sugeng Purwoko,S.T.,M.T","Salah satu sentra perikanan budidaya kolam di Kabupaten Tulungagung adalah Desa Tanggung dengan komoditi andalannya adalah ikan lele. Di Desa Tanggug terdapat peternak ikan lele dengan kebutuhan pakan buatan (pellet) per bulannya sekitar 200 karung dimana perkarungnya dengan bobot ± 30 kg harganya minimal Rp.240.000,-. Ketergantungan dengan produk pabrik ini sangat membebani para peternak, karena permasalahan pakan ini mempunyai proposi yang sangat besar sekitar 70 % dari seluruh kebutuhan produksi budidaya lele.
Dalam rangka mengatasi kendala tersebut para peternak ikan membentuk kelompok dengan salah satu tujuan utamanya adalah agar bisa membuat pakan ikan buatan sendiri. Dengan pengadaan  pellet ikan di Desa Tanggung dapat menggurangi pembelian pakan dari pabrikan yang harganya melambung tinggi.
Untuk mengidentifikasi permasalahan lebih dalam maka dilakukan kegiatan Focus Group Discussion Berdasarkan dari beberapa peluang dan permasalahan diatas, para peternak ikan lele di Desa Tanggung sangat membutuhkan mesin penepung bahan pellet ikan lele yang bisa menghasilkan ukuran mesh butiran yang halus sesuai standar persyaratan untuk dapat dicetak menjadi pellet.
Berdasarkan langkah perancangan produk pencetak pellet dengan menggunakan Disain For Sustainability didapatkan prototype penepung pellet sebagai berikut : menggunakan (1) Motor bakar 5,5Hp. (2) Penepung tipe Disk mill. (3) Blower sebagai pendorong udara. (4) v belt polos. (5) Pulley berukuran 10 dem.dll


Keyword : Tepung halus, D4S metode, Penepung Otomatis
"
