userName;score;at;content;
aprianto widodo;2;17/10/2023 04:50;setelah update terakhir jadi makin lemot. padahal hape spek cukup lah, sering keluar notifikasi session telah berakhir. jadi harus dibersihkan dari recent apps baru buka lagi. keyboard juga sering gak muncul. tolong diperbaiki dan dijaga mutunya.;
Edwin Mapatiswara;1;26/10/2023 13:39;Pembayaran tagihan option-nya tanpa memasukan PIN kita ya? ini developer cari untung atau gimana? kalau emang cari hal yang efektif berarti kasih pilihan terburuk dong, kasih pilihan pertamanya harus pakai pin kalau mau transaksi, saldo kesedot otomatis tanpa sepengetahuan nasabah kan gak lucu!! Kalau emang bisa transaksi tanpa kita memasukan PIN/Password yang lain namanya ini maling!!!!;
Rixy Beta (Rixy);4;03/10/2023 02:00;Aplikasi nya bagus, banyak promo Dan proses transaksi cepat. Tapi daily check in nya tolong diperbaiki, setiap mau check in gabisa, tulisannya gabisa karena aktivitas tidak wajar padahal ga ngapa-ngapain. Tolong diperbaiki terima kasih.;
Villa Wulansari;3;13/10/2023 04:16;Sering banget pake dana buat transaksi, tapi akhir2 ini mengecewakan banget, tiap mau transfr opsi kirim ny gak muncul2, kan ganggu banget, sampe sekarang gak bisa2, udah terlanjur top up , udah uninstall trus instal ulang tetep gak bisa, ternyata banyak yg ngeluhin hal serupa tapi kok gak ada perubahan ny sih, tolong donk solusiny;
Tanpa Nama;3;22/10/2023 03:25;Aplikasinya sih udh bagus, tpi untuk akhir-akhir ini setelah update jadi lemot sama terlalu banyak masalah, entah ditombol kirim yg gk muncul atau dimasalah koneksi internet, sedangkan koneksi internet lancar lancar saja sampai bolak balik ganti dri paket data ke wifi.;
Saif Mild (Wapmild);3;20/10/2023 00:22;Setelah saya update di versi yg ini jadi lebih cepet buat transaksi, tidak seperti sebelum nya yang tidak muncul tombol button klik kirim /proses nya, saya harap jangan di update lagi sudah, nanti error lagi bikin malas, dan karna versi ini lebih baik, rating saya naikan kembali jadi 3 bintang, mau kasih 5 bintang blum bisa, soalnya apps dana blum 99% lancar loading nya, masih suka error kadang² di tombol button kirim nya muncul nya lama bgt, sekitar 2menit, pdhal sinyal bgus wifi ok.;
Heru Kodho;1;11/10/2023 16:30;Apk bagus sebenarnya..tapi fitur kirim ke teman sering gak bisa digunakan...baru bisa digunakan setelah uninstal lalu download apk lagi...mohon diperbaiki sehingga dapat membuat keyamanan saat mau bertransaksi..;
DJONI JULI;1;09/10/2023 15:35;Saya coba ulang-ulang untuk upgrade ke DANA Premium lewat DANA Digital Assistant/DIANA tapi tetap tidak bisa, lalu saya hubungi customer care lewat email dan telepon instruksinya sama semua harus hubungi bot DIANA, lalu saya buat laporan lewat DIANA tapi selalu gagal dan tapi selalu ad perbaikan sistem/pemeliharaan sistem. Saldo saya tertahan di aplikasi dan tidak bisa saya pakai untuk transaksi. Mohon bantuannya, jangan membuat customer tidak nyaman dengan menahan saldo mereka pada aplikasi.;
Ichsan;3;06/10/2023 08:24;Untuk update akhir-akhir ini aplikasi tambah buruk, sering force close, di menu sering lag (blank), pembayaran di beberapa transaksi sering gagal, padahal udh lama menggunakan dana, tolong lah lebih diperhatikan masalah2 tersebut, dan segera diperbaiki, kalau bisa hal2 penting kyak transaksi, kirim uang antar bank, itu lebih distabilkan, jangan banyak update malah memperburuk kinerja.;
Eka Fadli;1;03/09/2023 06:14;Payah, di update malah jatuh performa. Untuk semua menu loading lamanya superduper, mau transfer ga bisa diketik atau di pencet segala menunya. Ini mau di uninstall dana masih ada didalam. Jumlah dana kita biasanya bisa terlihat, ini simbol mata uda terbuka tapi masih titik yg muncul. Ada apa ini PT. ESPAY DEBIT INDONESIA KOE;
Saegusa Narumi;1;19/10/2023 15:07;Saya pengguna baru DANA dan sudah melakukan transaksi sekali dengan DANA PREMIUM. Tapi barusan saya mengisi saldo dan hendak transfer, tiba-tiba DANA PREMIUM saya gagal dan tidak bisa verifikasi ulang. Setiap verifikasi selalu gagal dengan notifikasi NIK tidak sesuai padahal semuanya sudah sesuai. Tolong diperbaiki, kalau begini saya menyesal telah menggunakan DANA;
nob Gaming;1;13/10/2023 18:48;Kok dana jadi gini ya harus Hapus data baru bisa bertransaksi. Transaksi ke 2 jadi tidak bisa tulisan nya no tidak terdaftar padahal terdaftar trus mau beli pulsa BY.U halaman tidak di temukan. Trus transaksi ke 2 mau keluar halaman loading harus kluar dulu baru masuk lagi kalo mau transaksi harus hapus data Sam menu saya pun beda gak ada total transaksi mau keu Cs Diana pun hilang ini gimana yaa;
Deddy Vijay;3;03/10/2023 03:06;Sangat berguna, tapi semakin update perangkat lunak ini semakin berat di ponsel. Buatlah aplikasi seringan mungkin. Karna dari semua dompet digital dan bank digital hanya aplikasi ini yang berat dan low responsif. Kurangi featur yang jarang digunakan !!;
Sochibi Khomisah;1;10/10/2023 14:07;Sengaja ga sya kasih bintang 1,karna setelah di update ngeleg, untuk top up cpet,tpi untuk transfer atau transaksi lain ea ga bisa,dah gitu skrg untuk transfer lewat qris ga bisa,mohon perbaiki lagi supaya pengguna apk DANA nyaman dan ga pada kabur.;
Ade Rian;1;13/08/2023 16:36;Makin update makin gk jelas.. lemot,buka mini program skrng gk bisa. Mau cek in gk bisa..update,restart,uninstal ,download udh semua. Tapi hasilnya ttp sama.. gk ada perubahan.buat apa ngadain event kalo dipersulit. Mana setiap buka aplikasi nyedot data lumayan.!!!!!;
Aqila Tomo;5;12/10/2023 15:16;Gimana cara clear data nya di aplikasi dana nya..? Versi sudah yang terbaru,tapi tetap jika mau transfer harus di hapus dan di instal ulang baru bisa,itupun kalau kita keluar dan masuk lagi sudah gak bisa lagi tranfer gak muncul lagi bacaan lanjutkan,harus di hapus dan di instal ulang. Bosan juga lama2 kalau seperti ini;
Chiu Daeprigaenz Nahak;1;03/10/2023 11:13;Saya udah hampir 1 bulan mau kirim uang tapi gak bisa, ada solusinya gak.. Saya gak mau lagi kasih bintang percuma tiada 1 pun masalah pengiriman uangnya berhasil katanya mau upgrade ke premium sudah di scan KTP nya ehh malah di bilang KTP aku rusak. Hadwwwiiii... Aplikasi yang memalukan;
Aangitu D'arttea;1;27/10/2023 10:35;Mau upgrade premium...sudah 3 tahun tidak terverifikasi...gara gara KTP buram...dan skrng KTP sudah bikin baru...tetep aja susah...trus bikin laporan tentang premium karena sudah kirim data secara manual di live chat.. tetep aja gak beres beres...dengan jawaban tidak memuaskan dan tanpa SOLUSI....payaahhhhhh;
mugi suwandi;1;19/10/2023 18:12;masih lemot , dan kebanyakan fitur yang nambah ribet dan ga penting. iklan tuh dibanyakin lagi biar ketutup smua tampilan nya. 😏😏 noh liat hp yg ram nya 4 giga, kesusahan buat transfer dan kirim data. lama2 nambah ga jelas ni aplikasi, maunya untung besar tapi menu nya kebanyakan hal2 yg ga perlu ada diada adin. jijih !!!;
emilianus jooliyas;5;07/10/2023 17:28;Sebelumnya udah pernah upgrade dan bisa di pake, bbrp hari setelahnya mau transfer malah gabisa katanya harus upgrade lagi. Setelah upgrade lagi dengan segala permintaan yg sudah di penuhi malah tetap ga premium.;
Asep Ruswendi;5;12/10/2023 15:24;Dompet digital yang bagus dan sangat membantu transaksi keuangan sehari hari dan saya suka DANA. Baru dibulan ini diperangkat saya tampilan menu aplikasinya berubah dan tidak munculnya tombol Lanjut untuk bagian kirim. Semoga ini bagus lagi.;
Abdi Bumi Lestari;2;15/10/2023 06:49;Sudah 2 tahun terakhir pakai aplikasi ini, tapi kualitas kinerja menurun. Pengiriman uang semakin lambat, proses loading makin lama, malah sering tidak bisa lanjut kirim. Harus install ulang berkali2. Hubungi CS cuma dapet jawaban install ulang.;
Munah Rai Putri;2;14/08/2023 03:59;Hmm, peformanya turun setelah di update. Tadinya nggak lemot, setelah di update lemot. Menu A+ reward juga nggak bisa dibuka. Padahal sebelumnya lancar-lancar saja. Deskripsi di box menjanjikan kelancaran setelah di update karena bugs sudah dibersihkan. Tapi malah nambah lemot🙏🏻 maaf saya kasih bintang segini dlu.;
Bima Budiyono;1;19/10/2023 16:59;Aplikasinya sekarang agak nggak jelas ,masak saldo udah berkurang buat ngirim udah ada transaksi berhasil malah nggak masuk ke penerima ,sedangkan cs nya nggak bisa ngasih solusi yang jelas.uang jadi nggak kembali,kan aplikasi aneh;
fir daus;1;08/10/2023 08:54;Lama kelamaan nih aplikasi susah banget buat cek saldonya. Padahal niatnya cuma cek saldo tapi butuh kerja keras buat liatnya karena saldonya ga langsung tampil di layar, kaya lagi proses menampilkan tapi ga muncul. Kayanya nih aplikasi kudu di perbarui dengan kualifer yang lebih rendah biar ga terlalu berat.;
Nanda Kurniawan;2;15/08/2023 00:07;Kadang ga bisa di andelin, saat bener bener dibutuhin, selalu lama banget masuk ke dalam aplikasi nya, sering bermasalah, saat mau login A+ Reward juga, sering ga muncul login/absen buat reward nya, dan saat mau isi bensin saat buru2 login aplikasi nya lama banget, akhirnya pake aplikasi sebelah nya.. Tolong dong perbaiki ini kenapa, saya dah ganti SIM jaringan internet dan kadang pake WIFI juga masih sama aja.;
Joy;1;29/09/2023 14:48;Sering ngak bisa cek riwayat transaksi. Padahal jaringan bagus dan bisa akses mobile bank, tp akses dana malah ngak bisa. Parah. Lebih baik pakai applikasi lain aja. Note: kalau komplain pasti sama bot atau cs disuruh lewat riwayat transaksi, padahal riwayat transaksinya aja ngak bisa di buka. Aneh.;
Ju An;1;19/10/2023 00:39;Sdh 1tahun saya pakai aplikasi ini... Tpibanyak kendala Y... Mulai dari transaksi lemot, hp jadi berat saat aplikasi Y di buka, dan yg terakhir saldo bisa hilang secara tiba2 tanpa ada notifikasi pemberitahuan sama sekali.;
Martin DeaVeR;1;11/08/2023 10:07;Makin kesini makin gak jelas nih aplikasi dana, kirain masalah sinyal yang lemot ternyata memang aplikasinya. History chat gak bisa diakses, notif dana masuk & keluar juga gak jelas. Dana masuknya malam, notifnya pagi atau siang baru muncul.;
Yulister;1;09/09/2023 01:19;Aplikasinya makin update makin lemot minta ampun. buka riwayat, mau lihat saldopun lemot, mau kirim dana, mau isi pulsa, dll semua menu nya serba lemot. harus buka tutup 2x baru bisa. Tolong di perbaiki lah!! Tambahin juga Fitur hapus riwayat kirim. Saya sebagai pengguna sangat KECEWA dengan APLIKASI anda!;
Evan Sihombing;1;11/08/2023 11:45;Makin kesini makin bnyak bug. Saya Nerima pembayaran listrik, udah di potong saldo, transaksi gak bisa di liat, force close terus. Banyak pelanggan saya yg kecewa, dan saya kecewa dengan pelayanan dana,Makin di update makin bnyak errornya. Cek riwayat ga bisa. Mau TF ke sesama selalu masalah jaringan, padahal sudah pake wifi. Sudah pake paket data.;
Nasrullah Aziz Pramudya;1;05/10/2023 07:25;Jelas ada paket internet, jaringan sangat bagus, kenapa ada notif maaf tidak ada koneksi internet? Pada saat mau menggunakan fitur transfer. Makin update makin ga jelas, mau gunakan fitur QR notifnya system sedang sibuk. Trus app ini bisa di gunakan untuk apa???;
Mahkota Jaya;1;18/10/2023 02:39;Jadi males pakai apk DANA ini ada pemotongan dari google secara otomatis tanpa pemberi tahuan,bagian di cek di arahkan ke game yg sebelumnya tdk pernah di instal, habis saldoku, dari DANA sendri tdk ada penagung jawaban,di tanya malah balik nanya, di perbaiki jika mau lebih banyak pengguna, jgn buat kecewa. Terima kasih;
Kepin Bacok;2;14/10/2023 07:12;Udh lama pake apk ini dulu enak. Sekarang lemot.. Kalow mau kirim teman suka gk muncul. Harus hapus data dulu login kembali. Baru muncul.. Dalam 10 menit tidak muncul lagh.. Jadi tidak nyaman.. Kalow mau tranfer;
Taofik Hidayat;2;16/08/2023 00:55;Untuk fitur paylater/dana cicil tidak ada di akun saya yg udah masuk penggunaan aplikasi dana selama hampir 2 tahun, tapi giliran teman saya yg baru saja mendaftar langsung muncul fitur paylater/dana cicil, ini sangat mengecewakan!;
Kak Vivin;2;31/08/2023 07:29;Aplikasi ini menyebalkan sekali sih 😭. saya seorang disabilitas di mata. tapi terkendala di verivikasi wajah. jelas-jelas yg satunya nggak ada tp di suruh berkedip mulu. Katanya verivikasi nya mudah. Tapi kenapa dipersulit untuk ku😭. jadi kecewa makek aplikasi ini. nggak pengertian bgt bagi disabiltas.;
Guen 6;1;05/10/2023 18:13;"Ini kok tiba"" force close trus logout sendiriya?, mau relog malah gak bisa, jadinya malah daftar nomor baru. Tolong buat segera fixing bugnya. Mau transaksi malah ada masalah. Mana saldo cuman ada di Dana pula.";
Magh Firoh;1;01/10/2023 18:05;"Ini gimana sih, niat saya pakai dana agar transaksi cepat dan update data terbaru tp setelah ganti ke no baru malah suruh upgrade dan itu gagal terus. Akhirnya uang saya ketahan dengan jumlah yang tidak sedikit karna tidak bisa transaksi apa"" (tarik saldo/transfer semua tidak bisa) Tolong dong balikin uang saya !!!";
Yeni Nur wahyu;1;06/10/2023 14:06;"Baru aja download udah bikin emosi, dipersulit. ""Akunmu belum bisa dipakai"" padahal sebelumnya saya gk pernah download apalagi daftar. Tpi slalu muncul notifikasi itu"" mulu. Udah coba menghubungi ini itu lewat email. Tetep saja gk bisa. Lalu nunggu sampai berapa hari akun saya bisa daftar.? Mohon ya diperbaiki lagi. Tolong bantuannya emang saya harus stnbay liatin email. Udh saya lakukan ujungnya error apa lah. Kalo bikin org kecewa hapus saja sekalian. Bukannya membantu buat pusing";
Mas'ud Dll;1;30/09/2023 17:09;Ui paling berat di antara e wallet lain, kadang saldo gak muncul kalo koneksi buruk, refresh gk bisa. Harus restart aplikasi berlaku juga buat liat saldo bisnis kadang juga error. Yg paling aneh kalo payment lewat luar harus masuk web gk ke aplikasi terus apa gunanya ada app. Pake masukkin nomor dan pin pula. Masalah utama ada di ui berat, makan banyak data internet juga.;
yatrinurevi yatrinurevi;1;22/10/2023 05:34;Di tunggu maksimal satu Minggu lagi.. Kalau masih bug ,, nggak bisa masuk aplikasi. Ya udah uninstall aja.. Ada lebih satu bulan menanti perbaikan . segala cara udah dilakuin. Udah rala juga hapusin aplikasi di ponsel. Siapa tau pengaruh memori atau RAM. Dan Laporan udah dua kali juga. Laporan via Diana digital gimana caranya! Buat masuk aplikasi aja susah. Keluar keluar sendiri.;
Mugiwara;1;08/10/2023 01:27;Sering di update bukannya tambah bagus ini malah makin ga nyaman di pakee..setelah baru di update tambah parahh banget setiap mau kirim saldo ke NOMOR baruu selalu tidak bisa dan notif selalu nomer tidak terdaftar padahal sudah jelas nomor tujuan sudah terdaftar di dana dan juga sudah premium tapi malah ga bisa teruss..dan saar mau transfer ke BANK Setelah menulis nomor rekening dan BANK TUJUAN selalu ga bisa(anda terlalu sering mengecek, silahkan ulangi beberapa saat lagi) INTINYA SAYA KECEWA;
Fajar Pratama;5;16/10/2023 17:16;ok, untuk apk DANA,sy mengklarifikasi ulang, bahwa ini semua bukan soal sistem,namun jaringan lah yng menjadi salah satu penyebabnya,kenapa sy bilang begitu, soalnya ketika saya pakai wifi semua berjalan dengan normal🙏🙏, terimakasih,sukses selalu,;
Alex Fernandez;1;18/10/2023 17:01;Saya pengguna setia dana...makin hari makin bobrok,,komplain buat saldo yg udh terpotong tp barang tidak sampai udh hampir seminggu belum jg kelar,padahal tiap bulan saya selalu limit transaksi,tidak pandai menjaga kepercayaan konsumen.assisten diana pun sangat tidak membantu,udh nlpon 2x masih proses juga,dulu paling lama 1hari udh clear,tanpa assisten diana pun. Sangat tidak rekomendasi buat saat ini,aplikasi dompet digital paling jelek yang saya pakai buat saat ini,,payah dan benar2 sampah.;
Heri Supriyanto;5;05/10/2023 00:49;Dengan Aplikasi ini semua menjadi mudah..... hanya kendala bagi pengguna hp ram kecil, jaringan sering lemot akhirnya transaksi gagal total. Yaaa sudahlah 😖😖 Mungkin sudah waktunya ganti hp dgn ram besar menyesuaikan kebutuhan.🤝🙏;
Arfan Mutaqin;1;08/10/2023 08:08;Sangat jelek sekali apk ini. Masa baru download gak bisa kirim uang bukan mempermudah tapi malah memper sulit banyak kesalahan. Mana pihak dana perbaiki sistemnya kalo caranya kaya gini kamu merasa di rugikan dari waktu pikiran. Dan yg lainya. Gak ada tanggung jawab apa apk ini bodong;
Asrarul Wahdi;1;13/09/2023 20:14;Entah apa yg ada di pikiran orng yg ngasih bintang di atas 3 untuk aplikasi ini,udah lama pake aplikasi ini untuk transaksi atau transfer ada aja kendala nya dan untuk beli pulsa di jam tengah malam pun pending lama(pake banget). Gak ada perubahan sama sekali dan malah yang ada makin bobrok system nya, entah duit nya di k*r*psi or something jadi bikin system asal jadi. Bener2 kecewa kirain bakal ada perubahan ternyata nihil. Auto uninstall dah klo kya gini;
NURHANDIKA KURNIATI;1;05/10/2023 17:17;Sangat kecewa dengan apk ini,saya sudah 2x tertipu iklan di Instagram.mengatasnamakan DANA,berdalih adanya kartu fisik dan saya disuruh klik,,,ternyata saldo saya tersedot 264.000rupiah dan 28.000rupiah.tidak aman sekali dan pengaduannya tidak menemukan hasil yang memuaskan.;
Johan;1;13/10/2023 02:33;Tidak bisa dipake bayar STEAM karena ada limit pembayaran, diharuskan upgrade akun. Tapi ditolak otomatis by aplikasi karena memang ktp kita kualitasnya jelek. Hubungi CS bukannya dibantu verifikasi manual malah dikasih email makro. Ga ada solusinya. Chat CS di aplikasi juga ga ada gunanya. Sekarang malah ga bisa diakses karena masih ada verifikasi yg tertunda Jadi solusi dari kalian apa. Ga ada?;
Riefi Agung;2;05/10/2023 16:06;Deskripsi aplikasi anda dapat meminta agar data dihapus tapi buktinya zonk, nomor telepon yg udh pernah kedaftar gabisa didaftarin lagi, data yg terdaftar nyangkut mau pindahin akun premium harus kosongin saldo riwayat transaksi DLL intinya jgn buka aplikasi selama 90 hari baru bisa mindahin akun premium. sudah chat customer servis via live chat maupun email minta hapus akun atau nomor telepon yg terdaftar ternyata gabisa dihapus. Cuma ada pilihan ganti nomor atau pindahkan akun premium, cacat.;
VIRGO Art;1;23/09/2023 09:50;"Sering diupdate malah makin hancur, loading lama, sering blank putih, lama responnya, aplikasinya seperti makin berat,mau isi pulsa aja mencet sekarang kebukanya 2 jam kemudian,padahal aplikasi digital lainnya lancar"" aja.mungkin aplikasi ini hanya untuk smartphone high end yang ramnya di atas 6 gb";
Afifah Dijah;1;21/10/2023 06:29;Saya sudah berkali kali mencoba untuk upgrade akun ke premium tapi tidak bisa karena e-KTP sudah digunakan di akun orang lain, sudah chat cs dana tapi cuman diminta foto KTP dan KK lalu tidak ada respon dan hasil setelah ditunggu 6harian. Tolong lah ini ada saldo saya di dalam dana cukup besar, gabisa di TF karena akun premium gabisa bisa. Percuma chat cs dana juga progresnya gak berjalan, gak ada hasil dari pengajuan masalah ini. Tolong bantuannya, di email malah dibalas suruh chat cs dana.;
Nazwa Ummi Arifin;1;02/09/2023 06:16;Kecewa banget sama apk ini, padahal udh suka banget karena terasa mudah bertransaksi. Tapi sayangnya aku pengalaman bayar pake qris udah kepotong saldo 2x tapi riwayatnya gak keluar, udh berusaha tanya2 ke cs dikasih solusi but nggak membantu sama sekali, dan ternyata saldo juga gak masuk ke tujuan. Melayang deh duitnya gatau kemana. Sampai saat inipun gak ada tanggapan / solusi lain. Buat yang lain tetep hati2 ya ... Setelah masalah ini gak selesai 👆 malah ngebug setelah update 🤦‍♂️;
Anggita Damayanti;1;08/08/2023 15:24;Dana makin parah, untuk kirim ke bank harus upgrade, sedangkan ktp saya nomer nik saat di cetak sudah hilang berapa nomer, jadi ga bisa buat upgrade, saat mau kirim ke bank muncul upgrade premium seperti itu terus, setelah di klik nanti saja biasanya tetep bisa di pake, ini malah kembali lagi, komplin ke chat diana percuma. Ga jelas ga di tanggepin juga 😭😭tidak memberikan solusi, gimna mau pake pembayaran digital kalau modelan begini 😭😭;
Bagus Raharja;1;11/10/2023 12:48;Ini aplikasinya gimna sih, mau top up lewat atm BRI gk bisa. Keterangan nomer tidak terdaftar. Top up lewat alfamart jg gagal nomer tidak valid. Lha trus solusinya gimana. Ini mah bukan mempermudah tapi mempersulit. Pdhal akun sudah terverifikasi tapi gagal terus..;
Mawar Sinaga;1;23/10/2023 09:46;Tolong kembalikan uang saya!!!!!!!! Saya udh chat di aplikasi nya, sdh kirim email, msh tidak digubris jg. Baru pertama kali top up e-money Mandiri di DANA eh saldo tidak masuk, padahal butuh urgent. Eh saya coba top up di Shopee, saldo nya langsung masuk, saya kira ATM / bank nya yg bermasalah, eh ternyata dr DANA nya yg bermasalah, krn saya top up di Shopee kok lgs masuk saldo nya setelah di update, sedangkan dr DANA udh coba di update di HP, ATM, Minimarket, saldo nihil!!!!!!;
r sahdan;1;11/08/2023 17:54;Makin sini dana makin gak jelas,banyak transaksi yang diproses tapi ga kekirim kirim,selalu gangguan,sistem sibuk,dan banyak lagi masalahnya,pernah sekali saya transaksi lalu transaksi tersebut dalam proses/belum terkirim,proses itu memakan waktu sampai 1 bulan lebih,baru transaksi saya dibalikan,memang saldo saya kembali tapi ketidak pastian saat live chat yang saya tidak suka selalu dijawab dengan sistem operasional mereka bukan dengan live chat dengan pihak atau staf dananya langsung;
Sabar Santoso;1;13/10/2023 06:04;Sebenernya aplikasinya bagus, tapi hal yang sangat mengecewakan adalah proses upgrad e premium. Saya sudah coba lakukan verifikasi sebanyak 10x tapi selalu gagal tanpa ada pemberitahuan gagal nya dimana dan tak ada solusi sama sekali padahal dalam akun saya ada saldo yang cukup lumayan jumlahnya, tapi ga bisa digunakan sama sekali.. Jujur kecewa banget dan sedih🙏 tolong untuk pihak dana bisa memerbaiki jadi pengguna tidak merasa dirugikan dan dikecewakan;
apa aja oke;1;09/10/2023 02:32;Aplikasi gacha . Kadang bagus kadang ngga . Kadang ada yang bisa instal kadang ada yang gak bisa . Mohon diperbaiki masalah fatal ini. Hp yang saya coba . Samsung a32 samsung a51 iphone xr xiaomi versi note seri lupa karna baru kenalan.;
U. YONO;5;14/10/2023 16:42;Dengan menggunakan aplikasi Dana cukup membantu saya dalam hal kebutuhan bertransaksi apa ajah dan pada waktu dimana saja cukup mudah digunakan dan aman,hanya sidikit agak lemot mungkin karna jaringan koneksi nya kali ya hihii,, tapi tetap aku kasih bintang 5 deh untuk aplikasi DANA ini;
Kiya Cell;1;31/08/2023 11:03;Cara menghapus RIWAYAT transaksi gak ada.. mau print juta gak bisa.. mau buka Riwayat loding lama, mau kirim dana loding 5-10 detik, sebenarnya aplikasi ini membantu, bagi yang tidak punya rekening bank, tapi berat download ke menu tertentu itu yang bikin frustasi..!! Mau di UNISTAL tapi kok butuh.. agrrrr..;
Omzhon Susanto;3;23/10/2023 06:41;Hadeh katanya digital. mau up grade primium aja susahnya ampun padahal semua sdh saya lakukan sesuai di chat dana jadi bingung sendiri kata ada ketidak sesuaian data padahal data sdh smua sesuai aslinya.. 😇😇😇😇😇.sudah hampir 3hari baru di terima laporannya setelah laporan di klik didisni ga bisa buka... 😇😇😇. Operator kemana dikau..;
Chuya;2;12/10/2023 16:18;Tolong di perlancarkan lagi ya untuk update selanjutnya para pengguna mengharapkan ini pasti, Untuk di fitur yang paling lemot dan suka ngecrash / bug gitu aja, padahal koneksi aman aman aja, Tapi setelah di coba lagi baru bisa, Itu menurut saya memperlambat dan bikin kesel, Kadang ada yang lambat banget, begitulah pasti admin juga ngerasain, Cobain aja download di play store apk dana mu pake sendiri pasti ada lemot nya;
WIRANTO ALVIERO;1;16/10/2023 02:53;Layanan asisten tidak membantu. Tiba tiba laporan keterangan selesai. Padahal belum adanya konfirmasi. Trus klik detail laporan yg tanda clickhere. Di pencet malah gak bisa. Helloo..develover. atasi bug asisten diana;
Narman Nofanda;1;14/08/2023 13:31;Terlalu sering perbaikan, dan mengakibatkan keterlambatan untuk transfer. Sering terjadi gangguan, klu ada nilai minta udah sy kasih minus untuk penilaian bintang. Inti nya makin lebih tidak jelas aplikasi nya. Kalau seperti ini mending sy pakai ovo;
Asep Saepullah;1;20/08/2023 06:25;Responnya sangat-sangat tidak relevan SAYA PUTUSKAN UNINSTALL DANA Ini tolonglah pasti bukan cuma saya yang ngerasain. Pas buka apps seringnya saldo gak muncul parahnya saldo salah nilainya (bikin kaget), terus kalo mau kirim uang setelah klik menu kirim menu-menu selanjutnya gak bisa d klik gak respon semua. Yang saya tahu ini sudah berlangsung cukup lama, seharusnya brand sebesar dana sudah tidak pantas memiliki bugs seperti ini. Terimakasih Sukses terus PT. ESPAY (DANA);
